sentence_index sentence
21982 "A person bending backwards ."
21983 "A person in a blue sweatshirt is doing a back bend ."
21984 "A woman in blue bends over backwards on the street ."
21985 "A little boy runs away from the approaching waves of the ocean ."
21986 "A little girl runs across the wet beach ."
21987 "A little girl runs on the wet sand near the ocean ."
21988 "A young girl runs across a wet beach with the ocean in the background ."
21989 "Child running on the beach ."
21990 "A bike rider jumping the hill on his bicycle ."
21991 "A man leaving the ground on a bicycle ."
21992 "A man wearing a blue shirt and matching helmet is jumping his bike over a hill ."
21993 "a mountain biker riding on a hillside wearing a helmet ."
21994 "One person jumping his bike towards the camera while another one in the background is walking his bike away from the camera ."
21995 "A boy is riding a red sledge down a snowy hill ."
21996 "A child in a blue jacket going down a hill on a sled ."
21997 "A kid riding a red sled down a snowy hill ."
21998 "A little kid in blue is sledding down a snowy hill ."
21999 "A young child is sledding down a snowy hill on a red sled ."
22000 "A black and white dog catching a tennis ball in his mouth ."
22001 "A dog stands in a field with a tennis ball in his mouth ."
22002 "A dog with a ball in a grassy field ."
22003 "A dog with a ball in its mouth sitting outside ."
22004 "The black and white dog catches the tennis ball in his mouth ."
22005 "Four men wearing plaid sit on chairs ."
22006 "Four men who look alike sit in chairs , while two of them drink from glasses ."
22007 "Four of the same man in the same room ."
22008 "There is 4 pictures of the same guy and he has a crown on in 3 of them ."
22009 "Three men with matching shirts , pants and hats and a man in robe are in a room ."
22010 "A man displays a photograph ."
22011 "a man holding up a picture of two people suffering"
22012 "A man is holding up a small poster with two people in it ."
22013 "A man is standing in front of a motor-scooter holding up a picture ."
22014 "A man is walking down the street holding up a picture ."
22015 "A group of woman hold each other up to catch a ball ."
22016 "A women 's sports squad performs some tricks , including lifting members high and tossing a ball ."
22017 "Team members being lifted up high to catch a flying ball ."
22018 "three young woman jumping into the air to catch a ball ."
22019 "Woman being lifted by other women play volleyball ."
22020 "A man and a woman in a silver coat are on a city sidewalk with their backs to the camera ."
22021 "A woman walks with another person at night ."
22022 "Couple waiting on sidewalk ."
22023 "People are outside at night ."
22024 "Two people outside looking to get a paper ."
22025 "A boy surrounded by pigeons"
22026 "A little boy is surrounded by many pigeons ."
22027 "A little boy wearing a blue hat and coat is standing amongst the pigeons on the street ."
22028 "The little boy stands in the middle of birds who have gathered on the sidewalk ."
22029 "The little child in the blue cap is amidst the pigeons ."
22030 "A bearded man holding a sign ."
22031 "A homeless man carries a sign that says "" hungry "" ."
22032 "a homeless person asking for help"
22033 "A man in a black hoodie holding a small sign ."
22034 "A man in a black hoodie is holding a paper sign ."
22035 "A woman looks at a book in a bookstore while holding a baby ."
22036 "A woman wearing a black shirt browses through a book at a store ."
22037 "A woman with a baby browses in a bookstore ."
22038 "A woman with a baby looks through a book display ."
22039 "Woman holding a baby shopping for books"
22040 "A group of friends are laughing and playing the wii on a red couch ."
22041 "A group of laughing people on a red couch ."
22042 "Four happy people sitting on a red couch"
22043 "Four people laughing and sitting on a couch ."
22044 "People sitting on a couch laugh ."
22045 "A brown and white dog with a black collar and gold tag licking the snow from its nose ."
22046 "A dog licking its lips while snow falls ."
22047 "A shaggy dog dusted with snow licks its nose ."
22048 "A white and brown dog licks his lips during winter ."
22049 "The brown and white dog licks the snow off of his cold nose ."
22050 "A person throws an object as a furry dog jumps to chase it ."
22051 "A woman in black is throwing a stick for a brown dog to run after ."
22052 "A woman is getting her dog to jump in the air ."
22053 "A woman playing with a shaggy dog"
22054 "A woman plays in the wind , with a furry brown dog ."
22055 "a boy on skateboard is making a jump from a blue bench beside a white wall ."
22056 "A boy skateboarding in an urban area"
22057 "A skateboarder midair with his skateboard ."
22058 "Teen grinding a bench on a skateboard"
22059 "The boy is skateboarding on the bench by the fence ."
22060 "A man dives into a clear blue lake ."
22061 "A man in black bathing trunks dives into water ."
22062 "A man in black shorts is diving into a rocky pool ."
22063 "A man in black swim trunks diving into the water"
22064 "A person is diving into clear blue water ."
22065 "A large white bird pulling a fish out of the water ."
22066 "A seagull lands on the water ."
22067 "A white bird has something in its beak at it lands on the water ."
22068 "Two large seagulls are in the water ."
22069 "Two seagulls on water , foreground bird has object held in beak ."
22070 "a child in a blue shirt exits is being deposited from a slide onto a sand in front of palm trees ."
22071 "A kid is coming out of a tube slide and is about to hit the sand ."
22072 "A small child coming out of a covered slide ."
22073 "A young blonde child shoots from a slide at high speed ."
22074 "A young boy about to land in the sand from a trip down a beige slide ."
22075 "A man and a woman in a apron stand near a fireplace and Christmas tree ."
22076 "A man and a woman posing in front of a christmas tree ."
22077 "A man and a woman stand in front of a Christmas tree contemplating a single thought ."
22078 "A man and woman with their hands on their chins are standing next to a Christmas tree ."
22079 "A young couple thinking about their Christmas decorations ."
22080 "A black and white dog jumps up and down in the snow ."
22081 "A boxer leaps in the snow ."
22082 "A brown and white dog wearing a red collar is standing in the snow ."
22083 "A dog above snow ."
22084 "Large dog out in the snow ."
22085 "A man and a girl walking on the beach , orange sunset behind ."
22086 "A man and girl are walking barefoot on the beach at sunset ."
22087 "A man and girl walk along the beach at sunset ."
22088 "Man and woman walk on beach with a gorgeous sunset behind them ."
22089 "There is a couple walking out the beach at dusk ."
22090 "A brown dog barks surrounded by white snow ."
22091 "a dog wearing a black collar is standing open mouthed in the snow ."
22092 "A tan dog with a black collar barking in the snow ."
22093 "dog barking"
22094 "Dog standing in snow barking ."
22095 "One bird opens its mouth while the other bird looks back at it ."
22096 "Two birds are fighting each other in tall grass ."
22097 "Two birds are standing in a wooded area ."
22098 "Two birds interacting in the grass"
22099 "Two colorful birds facing each other ."
22100 "A dog jumps over twigs in the snow ."
22101 "A dog runs through the snow ."
22102 "A large white dog is bounding through a snowy field ."
22103 "A white dog bounding through snow"
22104 "a white dog with brown and black markings frolics in snow ."
22105 "A bird splashing around in a stream ."
22106 "A bird splashing in a puddle"
22107 "A duck is splashing in a puddle of water ."
22108 "Black and white bird with orange beak in water with rocks around ."
22109 "The bird is bathing in the puddle that is surrounded by rocks ."
22110 "Four children jumping on the shore ."
22111 "Four girls are jumping next to each other on the sand shore of a large body of water ."
22112 "Four girls are jumping up and down on the sand near the ocean ."
22113 "Four girls jump in the sand at the beach ."
22114 "Four girls jump up while holding hands at the beach ."
22115 "A crowd gathers behind an older man ."
22116 "A man is posing for the camera in front of a group of people ."
22117 "An old man in a brown shirt stands while a crowd looks on ."
22118 "Man in brown shirt and beard is being watched by a group of people on the street ."
22119 "Man in brown shirt on sunny street , a crowd in background"
22120 "One child in black is walking down a hill covered in white snow while 2 children are on their knees ."
22121 "Three children are shown in the snow ."
22122 "Three children playing in snow ."
22123 "Three kids are walking down a steep , snow-covered hill ."
22124 "Three little boys play in a large snow covered field"
22125 "A man holding up a sign , surrounded by a lot of people ."
22126 "A man holding up a sign with a crowd in the background ."
22127 "a man holds a pro Judea protest sign at a protest rally"
22128 "A man in a crowd holds a sign that says "" Those who blame Israel are hypocrites . """
22129 "A man with a black coat carrying a pro Israel protest sign ."
22130 "A crowd at an outdoor event ."
22131 "A crowd is gathering on a grassy plain ."
22132 "A smaller art festival on the edge of a forest"
22133 "children play in grass at a crowded outdoor festival ."
22134 "People mingling at colorful fair ."
22135 "A man standing on a small metal structure on a snow-covered night ."
22136 "A snowboarder performs a trick on a ledge , with pristine snowscapes surrounding him ."
22137 "a young man jumping on a red railing"
22138 "Snowboarder balances on low , wooden structure in snow ."
22139 "This man dressed in white pants and blue shirt , is standing on a ledge in the snow ."
22140 "A dog is jumping over a stream of water on a sandy beach ."
22141 "A dog jumping over a puddle on the beach"
22142 "A dog jumping over a stream of water ."
22143 "A grey and white dog jumping over standing water in the sand ."
22144 "A small dog leaps over a stream ."
22145 "A group of five men are standing in the middle of a room that is crumbling and abandoned ."
22146 "A group of guys who appear to be a band stand inside the dark graffiti-covered and rock-strewn building ."
22147 "Five men are standing in a dark room , where there is debris and graffiti on the ground and walls ."
22148 "Five men are standing in a dark room with graffiti on the walls ."
22149 "Four young people are standing in a run down alleyway posing for a picture ."
22150 "A boy wearing a blue helmet rides a bike with his feet on the handlebars ."
22151 "A boy with a blue helmet plays on his bicycle ."
22152 "A little boy with a blue helmet rides his bike with his feet on the handlebars ."
22153 "Boy in blue helmet riding bike with feet on handlebars ."
22154 "Boy with a helmet resting his feet on the handlebars of his bike ."
22155 "A dog is jumping up at a man wearing a search and rescue jacket ."
22156 "A large , black dog is practicing attacking a culprit on a uniformed man ."
22157 "A man in a uniform playing with a black dog ."
22158 "A man in blue with a black hat with a dog leaping at him in a park-like setting ."
22159 "Man in blue padded suit training a black dog for search and rescue in a field ."
22160 "A brown dog is about to catch a treat ."
22161 "A brown dog opens his mouth to catch a piece of food ."
22162 "A dog is about to catch a treat in his mouth ."
22163 "A dog opens its mouth to catch a treat"
22164 "The dog is catching a treat ."
22165 "A boy in a red shirt stands on a mountain ."
22166 "A boy in a red shirt with arms outstretched on the side of hill ."
22167 "A little boy in red stands on top of a rock with a smile and outstretched arms ."
22168 "A little child is wearing a red shirt and a beanie and is standing on some jagged rocks ."
22169 "Little boy standing on some rocks ."
22170 "A cheerleader thrown into the air"
22171 "A group of cheerleaders are lifting up two other cheerleaders above their heads ."
22172 "Cheerleader on top of a cheerleading pyramid , girls are looking up at her one is in the background doing the same cheer ."
22173 "Cheerleaders dressed in red and black hold two cheerleaders above their heads ."
22174 "two cheerleaders in red an black are standing on the shoulders of other cheerleaders in front of a red curtain ."
22175 "A blond boy wipes his nose on his light blue shirt ."
22176 "a blond boy wiping his nose on his blue shirt"
22177 "A little boy wipes his nose with his blue shirt ."
22178 "Blond boy wiping his face with his blue shirt ."
22179 "The small boy is using his blue shirt to wipe his face , exposing his belly ."
22180 "Three dogs are running down a snow covered hill ."
22181 "Three dogs in the snow ."
22182 "Three dogs jump , run and play in the snowy landscape ."
22183 "Three dogs racing down a snowy path together ."
22184 "Three dogs running in the snow ."
22185 "A black dog lies on the floor while a brown dog stands behind him ."
22186 "A brown dog is jumping over a black dog that is laying down on a patio ."
22187 "A tiger striped pitbull jumps over a black and brown dog ."
22188 "one dog lying down while another jumps over him"
22189 "The black and tan dog is laying down with the smaller dog jumps over his back ."
22190 "A bunch of men playing rugby"
22191 "A group of men running in a field ."
22192 "A rugby player runs with the ball whilst being supported by a line of backs ."
22193 "A soccer player advances with the ball on a sunny day ."
22194 "Rugby players running with trees and spectators in the background ."
22195 "A brown dog is flying through the air ."
22196 "A brown dog is jumping in the air ."
22197 "a brown dog jumping through the air in a grassy yard ."
22198 "A large tan dog jumps in the air over the grass in a fenced yard ."
22199 "A red dog , jumping in midair , on a grassy backyard , shot from behind ."
22200 "The black dog on the right is dominant over the other two dogs ."
22201 "Three dogs are running around in the snow ."
22202 "Three dogs in the snow ."
22203 "Three dogs playing in the deep snow outside ."
22204 "Three large dogs run around in white snow ."
22205 "a wrestler celebrating his victory"
22206 "A wrestler crouches in pain while his opponent walks in the opposite direction ."
22207 "A wrestler in purple curls up in a ball while one in blue celebrates ."
22208 "A wrestling match just ended and the loser is upset ."
22209 "One wrestler walks away from a wrestler curled up on the floor as a referee looks on ."
22210 "A big dog carries a stick across a frozen pond ."
22211 "A black and brown dog walks on the frozen surface of a pond , holding a stick ."
22212 "A brown dog is carrying a stick in his mouth across an ice covered pond ."
22213 "A brown dog walking on a frozen lake carrying a stick ."
22214 "The big dog is carrying an object is its mouth ."
22215 "A boy is jumping a rail on his bicycle ."
22216 "A boy on a bike is jumping over a metal rail in a playground ."
22217 "a cyclist is performing a jump over a white railing ."
22218 "A man rides his bike over a stair handrail ."
22219 "Young man on bike jumping over outdoor playground equipment ."
22220 "Two girls are dressed up and sitting on a bed laughing ."
22221 "Two girls dressed to party sit on a bed laughing ."
22222 "Two woman in dresses smiling at the camera ."
22223 "Two young ladies are sitting on a small be in skimpy dresses ."
22224 "Two young women sit on the edge of the bed all dressed up ."
22225 "A girl dumps a bucket of water on another girl ."
22226 "A girl is throwing a bucket of water at another girl in a pool ."
22227 "In pool surrounded by plants , one smiling girl with a bucket splashes another girl ."
22228 "One girl throws water on another in a pool ."
22229 "The girls are playing in the pool and splashing each other with water ."
22230 "A family of nine people , including four children , pose in front of a brick fireplace with a white mantle ."
22231 "A family poses in front of the fireplace and Christmas tree ."
22232 "A family posing by the mantle and christmas tree ."
22233 "A happy family poses by the fireplace ."
22234 "Two couples and four kids pose for a family picture ."
22235 "A dog running through the snow with what appears to be a chunk of wood in its mouth ."
22236 "A white dog carries something in its mouth through the snow ."
22237 "A white dog in the snow running with an object in its mouth"
22238 "A white dog runs over a snowy field or lawn , with a log in his jaws ."
22239 "A white dog with a purple necklace on plays in the snow ."
22240 "A woman playing an acoustic guitar with a microphone"
22241 "A woman singing and playing the acoustic guitar onstage ."
22242 "A woman sings into a microphone while playing guitar ."
22243 "A young brown haired woman plays her guitar and sings into a microphone ."
22244 "A young woman plays guitar and sings on a stage ."
22245 "The two dogs in striped sweaters are outside in the snow with a red toy in front of them ."
22246 "Two dogs in striped sweaters fight in the snow ."
22247 "Two dogs in striped sweaters play in the snow ."
22248 "Two dogs in sweaters play in the snow ."
22249 "Two dogs wearing striped sweaters wrestle on the snowy grass ."
22250 "A couple in bathing suits walk on a beach ."
22251 "A man and woman in black and white swimsuits and sunglasses are next to the ocean ."
22252 "A man in a Speedo and a blond woman in a black and white bikini walk on a crowded beach ."
22253 "A man in a Speedo and a woman in a bikini standing on the beach"
22254 "A muscular man in a Speedo and a curvy blond in a bikini walk together at the beach ."
22255 "A person holding a net is standing in the water ."
22256 "A person is standing in shallow water with a fishing net as the sun goes down ."
22257 "A person is walking in the water with a net ."
22258 "Girl holding a net and walking in a lake at sunset"
22259 "Person wading in the lake with a fishing net at sunset ."
22260 "A child pushes its face up towards a window of a playground ."
22261 "A girl cringes when drops of water come her way ."
22262 "Girls squints , presses against oval hole in wet , colorful structure ."
22263 "One boy who has a funny expression on his face has his hands up by his head and is looking through a hole ."
22264 "Water is spraying on the child with its face through a cut out hole ."
22265 "A girl in a purple shirt holds a pillow ."
22266 "A girl in a purple shirt is has pulled someone else 's white shirt over their head ."
22267 "a girl smiling and raising her left arm"
22268 "A woman is tugging on a white sheet and laughing"
22269 "Girl in pink shirt and blue flowered shorts swinging a pillow ."
22270 "A man is using a chainsaw on a statue ."
22271 "A man weilding a chainsaw carves a log into a Gnome ."
22272 "A man with a chainsaw is carving wood into a statue of a man ."
22273 "The fellow with the chainsaw and brown coveralls is carving a statue with a chainsaw ."
22274 "The man is carving a Santa out of wood ."
22275 "A man is on top of a ridge looking at a small stone tower ."
22276 "A man looking at a rock formation ."
22277 "A man puts his hand to his head on a rock wall ."
22278 "A person screening their eyes standing beside a tower of flat stone ."
22279 "A person stands next to a rock monument with his hand near his head ."
22280 "A hiker is sitting on the ground looking towards the snow covered mountains ."
22281 "A man is sitting on top of a mountain ."
22282 "A person sits near a mountain ."
22283 "one person wearing a backpack sitting on the side of a rocky mountain ."
22284 "Someone is sitting on a hill overlooking a rocky mountain ."
22285 "A person on a snowboard crosses a makeshift wooden bridge ."
22286 "A snowboarder grinds a wooden box over a melted patch of snow ."
22287 "A snowboarder is leaping of a wooden platform ."
22288 "A snowboarder slides along a ramp over a snowy gap ."
22289 "The snowboarder does a board slide over a wooden obstacle ."
22290 "A man in a blue jacket is changing the performance information board of a theater ."
22291 "A man is using a large pole to remove letters from a sign ."
22292 "A man putting up letters on a sign with a long pole in front of a store ."
22293 "A person in a blue sweatshirt replaces letters in a theater marquee using a long pole ."
22294 "A theater worker changes the marquee outside a community theater ."
22295 "A golden dog passes a blue ball to another golden dog on the beach ."
22296 "Two brown dogs stand in the surf and play with a small blue ball ."
22297 "Two dogs are competing for an object in one 's mouth nearby a beach ."
22298 "two dogs by water fighting over blue ball"
22299 "Two tan dogs share a blue ball while standing on a beach ."
22300 "A man and a woman sitting on camp chairs and laughing ."
22301 "A man and a woman smile as they sit in yellow lawn chairs ."
22302 "A man and a woman sit in lawn chairs and laugh ."
22303 "A man with a beard and a woman in a red shirt sitting in lawn chairs in front of tents ."
22304 "A woman is smiling at the bearded man sitting in the lawn chair next to her ."
22305 "A blonde woman and bald man sitting together ."
22306 "A couple sitting in front of a computer screen ."
22307 "A man and a woman wear dark colored shirts in a beige room with a moniter in the background ."
22308 "A woman watches a man recieving a gift ."
22309 "Woman looking curiously at a man ."
22310 "A snowboarder is jumping in the air next to the ski lift ."
22311 "a snowboarder jumping in the air with a person riding a ski lift in the background"
22312 "One person is on a ski lift while another snowboards ."
22313 "People on a ski lift ."
22314 "snowboarders sit on a chairlift ."
22315 "A laughing woman in a scarf ."
22316 "A woman in a scarf , laughing , being licked by a dog ."
22317 "A woman wearing a black scarf makes a face as a dog tries to lick her ."
22318 "Woman in black scarf being licked by a black dog ."
22319 "Woman laughing as she is being licked by a brown dog ."
22320 "A mother is holding a child ."
22321 "An adult is nuzzling a child that is looking into the distance ."
22322 "A woman in a headdress is holding a little boy wearing blue ."
22323 "A woman in a scarf looks sideways at the camera and holds a small child ."
22324 "A woman wearing a head covering holding an infant"
22325 "A girl wearing white polka dots and black boots walks and a woman in a blue outfit hurridly walks behind her ."
22326 "A hip young woman down the street with a woman in a kimono walks behind her ."
22327 "A woman in boots with a big purse walks down the street followed by a woman in blue ."
22328 "a woman walks with her big purse ."
22329 "Women walk down the street ."
22330 "a man with a damaged eye stands with a child and a woman ."
22331 "A man , woman , and child ."
22332 "A man , woman and little boy pose for a picture in front of an outside door ."
22333 "Man with injured eye and woman holding child pose outside of building ."
22334 "Two adults and a small child pose outside a dwelling ."
22335 "A bicyclist performing a trick in midair ."
22336 "A biker is doing an aerial trick on his bike ."
22337 "A guy does a trick in the air ."
22338 "A man wearing a helmet is doing a stunt with his BMX bike ."
22339 "The man wearing a red shirt is performing an aerial stunt on a bicycle ."
22340 "A dog is walking in a tire track in the snow ."
22341 "a golden dog is running along a tire track that has been carved out in the snow ."
22342 "A young dog walking through the snow in a tire track ."
22343 "Golden retriever puppy walking through snow ."
22344 "The dog is walking in the snow ."
22345 "A man and a toddler look at advertisements ."
22346 "A man and child in front of a billboard"
22347 "A man in a black coat and hat and a child with a red snowsuit and Pooh backpacker read advertisements near a McDonalds ."
22348 "A man stands on a street corner with a small child looking at a sign ."
22349 "There is a man with a young child in a red outfit looking at advertisements ."
22350 "A close-up picture of a man and a woman ."
22351 "A cute couple at a club"
22352 "A guy with a toboggan and a girl pose for the camera ."
22353 "A man and a woman stand close together ."
22354 "A man and woman pose for a picture together ."
22355 "A girl gets off her sled in the snow ."
22356 "A lady sits down with her belongings in the snow ."
22357 "A person is carrying a snowboard across deep snow ."
22358 "A person sleds on the snow at night ."
22359 "The girl in the pink hat is dragging a sled through the snow ."
22360 "A bearded man with glasses does a toe-touch ."
22361 "A man jumping into the air"
22362 "A man jumps into the air ."
22363 "A man wearing suspenders and sunglasses leaps up in the air with his arms and legs spread out to the side ."
22364 "A man wearing suspenders performs a split in midair ."
22365 "Two brown dogs are playing with each other in the snow ."
22366 "Two brown dogs chase each other in the snow ."
22367 "Two brown dogs play in the snow ."
22368 "Two dogs playing in the snow ."
22369 "Two dogs playing or fighting in the snow ."
22370 "A masked man helps burn a flag ."
22371 "I man with a covered face burning an israei flag in front of a crowd ."
22372 "Men burn an Israeli flag ."
22373 "Some middle eastern people have set an Israeli flag on fire ."
22374 "The man is wearing a red shirt and red flannel handkerchief while watching a flag burn ."
22375 "A group of people are lounging at a beach ."
22376 "A group of sunbathers gather near some kayaks at the beach ."
22377 "People sun on the beach next to boats ."
22378 "Several beachgoers are reclining near upside-down boats ."
22379 "Several people play and relax on the beach ."
22380 "a dirt biker performs a trick in midair ,"
22381 "A driver gets high in the air with his motorbike ."
22382 "A motocross racer does a trick in midair ."
22383 "Man performing stunts with his motorcycle ."
22384 "The man is hanging off the back of the motocross bike as it is jumping through the air ."
22385 "A black dog and small white and black dog look up at a kitchen countertop ."
22386 "A large dog and a small dog stand next to the kitchen counter to investigate ."
22387 "a small black and white dog standing next to a large black dog both looking up onto a counter ."
22388 "Dogs ignore plate of food on floor , look up at kitchen counter ."
22389 "The dogs are begging at the kitchen counter ."
22390 "A few sledders are chased by a dog ."
22391 "A group of people go sledding on a snowy hill and a dog chases one as he slides ."
22392 "Children sled and a dog plays on a snowy hill ."
22393 "Four people and a dog play in the snow ."
22394 "Four people in various stage of sledding on a snowy hill , while a dog playfully chases one of them ."
22395 "a bride being escorted under an umbrella to a large black car"
22396 "a bride takes cover under an umbrella ."
22397 "A newly wed wife is under an umbrella held by a pastor ."
22398 "An older newly wed couple stand under an umbrella in the rain ."
22399 "Newlyweds stand outside in the train ."
22400 "A man surfs on a huge green wave ."
22401 "A surfer dressed in black catches a huge wave and starts riding on the descent ."
22402 "A surfer in a black wetsuit rides a wave ."
22403 "A surfer is riding a wave that is beginning to tube ."
22404 "Surfer riding down a curling wave ."
22405 "A lady fastens someone 's ice skates in the snow ."
22406 "A person in a red vest is touching the blue ice skates on another person ."
22407 "A woman attending the boots of another in the snow ."
22408 "A woman fixes someone 's shoes ."
22409 "Skier on a snowy hill has his boots check by a red-vested man"
22410 "Two men are wrestling in a competition ."
22411 "Two men are wrestling while other people are watching"
22412 "Two men wrestle on the floor in front of an group of young men ."
22413 "Two men wrestling at a match ."
22414 "Two young men competing in a wrestling tournament ."
22415 "A man in a blue coat and red hat holds a sign with very small writing ."
22416 "A man in a red hat and blue jacket in a protest is holding up a tablet that talks about God and judgement ."
22417 "A man with a blue coat and a red hat is holding up a sign ."
22418 "Man in a blue coat holding a sign ."
22419 "Men standing with signs on the sidewalk ."
22420 "A brown dog laying on a green cushion ."
22421 "A brown dog rests on a green cushion ."
22422 "A brown dog sleeps on a green pillow ."
22423 "A dog laying down on a green cushion ."
22424 "A large brown dog is lying in the sun on a big , green dog bed ."
22425 "A girl sits on an ad and checks her phone ; another girl waits ."
22426 "A girl with ice skate sits on a fence checking her cellphone while her friend looks on ."
22427 "Two girls are ice skating and one is checking her cellphone ."
22428 "Two girls talk at an ice skating rink ."
22429 "Two girls stand outdoors and talk to one another ."
22430 "A group of people gather with only their legs showing and one of them is holding a cigarette ."
22431 "a man holds a cigarette ."
22432 "Hands and feet of several people holding cigarettes ."
22433 "No faces are shown in this picutre of jeans and sweatshirts ."
22434 "The legs and lower bodies of people sitting and smoking ."
22435 "A black , brown and white dog with his tongue out is in the snow"
22436 "A black , white and brown dog waking in the snow with a red toy in its mouth near an icey tree ."
22437 "A dog is walking along a snowy surface ."
22438 "A young Lassie looking dog is in the snow ."
22439 "The dog walking through the snow is licking his nose ."
22440 "A boatful of rafters get wet ."
22441 "A group of men in a blue raft doing whitewater rafting ."
22442 "A group of people are in a large raft on choppy water ."
22443 "A group of people go down the rapids in a blue and yellow raft ."
22444 "Rafters in a blue raft battle the river-rapids"
22445 "A crowd gathered at an ice skating park in the winter ."
22446 "A crowd of people ice skating outside in winter ."
22447 "A large crowd of people ice skating ."
22448 "A large crowd of people ice skating outdoors ."
22449 "A lot of people iceskate on a cold day ."
22450 "An Asian girl performs a routine with two red flags in a square ."
22451 "a person waving long red flags"
22452 "A woman plays with long red ribbons in an empty square ."
22453 "Lady waving two long red streamers around"
22454 "Two people work with long ribbons in a Chinese courtyard ."
22455 "A dog is running across a desert with bushes around him ."
22456 "A dog running across the sand"
22457 "A dog running up a sandy hill"
22458 "A little brown dog is running fast on a sand dune during the day ."
22459 "Small , hairy dog running in the sand ."
22460 "A man being pulled behind a sled led by numerous dogs in the snow ."
22461 "A man dressed in warm clothing sleds behind four dogs in the snow ."
22462 "A man is running behind a dogsled being pulled by four dogs ."
22463 "A man rides a sled pulled by a team of dogs ."
22464 "four husky dogs are pulling a sled in a race through the snow guided by a man wearing number eleven ."
22465 "A black dog bites a tan dog while standing near the patio door ."
22466 "A black dog playfully bits another dog in a living room setting"
22467 "Black Labrador biting a brown dogs neck ."
22468 "The black dog is biting the ear of the yellow dog ."
22469 "The black dog playfully bites the yellow dog near the furniture ."
22470 "A man power washes some steps beside a swimming pool ."
22471 "A man power washes steps by a large swimming pool ."
22472 "A person cleaning some steps by a pool ."
22473 "A person powerwashing stairs leading down to a pool ."
22474 "Man holding equipment near steps poolside with a white building in background ."
22475 "A boy wearing a red shirt is splashed by water ."
22476 "A child with water splashing on him ."
22477 "A little boy being splashed by water on his head"
22478 "little kid in red pooh shirt getting wet"
22479 "The little boy in red is getting drenched with water ."
22480 "A person jogging on a sidewalk ."
22481 "A person jogs down a paved surface in a rural setting ."
22482 "A person running down the road"
22483 "A person wearing jeans and a coat jogs on a sidewalk ."
22484 "A woman in a long sweater and jeans , is running away , down a path ."
22485 "A group of musicians with instruments ."
22486 "A group of young people busk on a street corner ."
22487 "Four musicians performing on the street ."
22488 "Musicians perform outdoors ."
22489 "Musicians play near a concrete wall ."
22490 "men in suits and ties walking downsteps"
22491 "Five men dressed in tuxedos standing on a set of stairs"
22492 "Five men in suits ."
22493 "Five men in tuxedos are walking down steps ."
22494 "Five men in tuxedos walk down a set of steps"
22495 "An asian woman holding an asian baby that is reaching toward the camera ."
22496 "An oriental girl is holding a baby in her arms ."
22497 "A smiling Asian woman holding her baby"
22498 "A smiling woman dressed in white holding a baby who is reaching his hand out ."
22499 "The woman is holding a child and posing for a picture ."
22500 "A bride , a groom , 3 guys , and 3 women ."
22501 "A bride and groom are the center of this picture , with three bridesmaids in red dresses to the left and groomsmen to the right ."
22502 "A couple taking a wedding photo with their wedding party ."
22503 "A formal wedding party poses smiling for a wedding photo in a church ."
22504 "The wedding party is posing for a picture in front of the church alter ."
22505 "A guy skateboarding ."
22506 "a skateboarder jumps into the air ."
22507 "A skateboarder performs a stunt ."
22508 "A young man is jumping in the air with his skateboard ."
22509 "Skateboard rider jumping high in the air on skateboard ."
22510 "A main in a black and white shirt is skiing with red flags to the right ."
22511 "A skier is in the snow next to a red flag ."
22512 "A skier slaloms by a red flag ."
22513 "A slalom skier wearing red pants and black shirt is skiing past a red flag ."
22514 "Person skiing on white snow near a red flag ."
22515 "A man in a blue jacket with a helmet on skiing ."
22516 "A person skiing down a hill ."
22517 "A skier is coming down a hill ."
22518 "A skier wearing a blue jacket and helmet is skiing down a hill ."
22519 "A skier going goes down the mountain ."
22520 "Two men at the beach twirl sticks with fire at the ends ."
22521 "Two men carry long objects on the sand ."
22522 "Two people are twirling fire sticks whilst standing on the sand ."
22523 "Two people juggle fire sticks in the mud ."
22524 "Two people stand out on the beach and hold long sticks that have flames on each end ."
22525 "A man draws characters with his feel on the street ."
22526 "a man paints chinese characters ."
22527 "A person drawing Chinese characters with his feet ."
22528 "A person paints Asian characters on a banner ."
22529 "A person using a brush to paint chinese characters on a vertical banner ."
22530 "A child playing in snow ."
22531 "A little girl sitting in the snow"
22532 "A small girl sits in the snow with a pink nose ."
22533 "A toddler in heavy clothing sitting in the snow ."
22534 "A young girl is sitting in the snow with a pink fur hood on her head ."
22535 "A group of young people smile for the camera ."
22536 "Several people are hugging each other inside a bar ."
22537 "some people at a part gather to take a picture"
22538 "Two guys pose with two women , everyone is wearing black and white ."
22539 "Two women of African descent , a dark skinned man and western man in a white shirt posing for a photograph ."
22540 "A crane lifts into the air above the water ."
22541 "A long necked white bird is floating above the water ."
22542 "A white bird is flying over the surface of the water ."
22543 "A white crane landing in the water ."
22544 "White , long-necked bird with yellow legs flies over water ."
22545 "A boy and girl are jumping rope together while another girl is holding the rope and turning ."
22546 "Three children playing jump rope in the grass among the trees ."
22547 "Three people playing jump rope in a field ."
22548 "Three school-aged children in uniforms jumping rope"
22549 "Two people are jumping rope outside ."
22550 "people stand side by side shooting off Roman Candles"
22551 "People in a line holding lit roman candles ."
22552 "People play with pyrotechnics ."
22553 "Several men holding flares ."
22554 "Some young men and women shoot fireworks out of their hands ."
22555 "a brown and white dog standing on the street wearing a hat , shirt and jeans ."
